use_obstacle,seed,target_x,target_y,obstacle_x,obstacle_y,q1,q2,success_t2,collision_t2,success_t4,collision_t4,success_t6,collision_t6,success_t8,collision_t8,success_t12,collision_t12
1,10033,1.5127674457416622,0.6041840972394614,-0.7641832817105837,-0.6826172489765862,1.8932859629122738,-0.8357249635159614,0,0,1,0,1,0,1,0,1,0
1,10034,1.1612126523467288,0.7375086200377183,0.8148904953779902,0.3934846279638693,-3.0924719630908144,0.7136575142782853,0,1,0,1,0,1,0,1,0,1
1,10035,1.2745348546904265,-0.2514263369114232,-0.8673595701677315,-0.16861762612175316,-1.310366756667008,-1.0780225652006097,0,0,1,0,1,0,1,0,1,0
1,10036,0.9263942360471248,-1.1379460087769118,-0.7753873997744495,-0.44540266929275757,0.13128524957337656,-1.3270762656446322,1,0,1,0,1,0,1,0,1,0
1,10037,-0.9415997342402804,1.5518592639076518,0.6682805623717794,0.019023845118399496,1.920703036383942,-2.467458780663322,1,0,1,0,1,0,1,0,1,0
1,10038,0.9464956248643167,1.1293500277182997,-0.7135624097828712,0.773201806416813,2.810517778594699,2.1473833220198832,0,1,0,1,0,1,0,1,0,1
1,10039,0.6518534794688143,-0.7145736560541289,-0.6693564572006416,-0.1271788059524508,0.33940254908540285,-1.1579690454307294,1,0,1,0,1,0,1,0,1,0
1,10040,-0.7205622268447976,-0.4951682214499291,0.7275136339161304,-0.9217980249162271,2.8065235901678567,1.4422043572959653,1,0,1,0,1,0,1,0,1,0
1,10041,0.6149609505892193,-1.0439811052443204,0.5357752161713406,0.3796429594955831,-0.38940081915942204,-1.7877155486992562,1,0,1,0,1,0,1,0,1,0
1,10042,-0.6859629119017958,0.4967584673143367,0.454826229146232,0.7628891834986005,-1.3875775548693041,1.799972247035878,0,1,0,1,0,1,0,1,0,1
1,10043,-1.679910281399857,-0.7225047001447487,-0.17500805846069387,0.9197661440925288,-1.0774458118207055,-1.807479558569357,0,0,1,0,1,0,1,0,1,0
1,10044,-0.2949222437504133,-0.870274515761542,0.7822717435954154,0.6385380216480012,-1.1533398978065186,0.4321830614159988,1,0,1,0,1,0,1,0,1,0
1,10045,-0.41324801813244644,0.6343086707342717,0.4192968904159043,1.083982008322929,-1.4337604823324601,-2.229251547975382,1,0,1,0,1,0,1,0,1,0
1,10046,-0.4932876564492242,0.012132663197859831,0.6347122353478732,0.02264613969699258,2.175787034351819,-2.154612964701801,1,0,1,0,1,0,1,0,1,0
1,10047,-0.08723791606185861,-0.6582043812073444,0.5151808702922884,0.3767877657876266,-1.8593321088433834,0.7468822308489365,1,0,1,0,1,0,1,0,1,0
1,10048,1.2972736922804973,-0.41986490899780493,0.5590734868938725,0.24609833666638137,-1.0795767895908415,-1.1385622581776582,0,1,0,1,0,1,0,1,0,1
1,10049,-0.5057178824046235,0.7104421697783554,0.9366348198272793,0.2413678199391165,0.7949335096553507,-0.36744874314929676,0,1,0,1,0,1,1,0,1,0
1,10050,1.22209679428934,0.25089982578006853,0.2925757090796324,-0.7952466187171598,-0.7136923958294982,0.6273020844193594,1,0,1,0,1,0,1,0,1,0
1,10051,-0.9733813532871141,0.40870728797398553,-0.2505754845651515,-0.7569805653747382,2.8431305286972983,-1.4678419075100408,1,0,1,0,1,0,1,0,1,0
1,10052,0.39435261286135315,0.17054742342414156,0.8371743454197711,0.11541266147871178,-2.210871518678886,-0.3627342025170188,0,1,0,1,0,1,0,1,0,1
1,10053,-0.40532058962685613,-0.12214701752230744,0.9774134998296131,-0.5523707165085197,0.22535764672325198,1.9899922431353816,1,0,1,0,1,0,1,0,1,0
1,10054,-1.7888727119955241,-0.13803465549750718,0.30570569079723964,0.5628826856366799,2.5338702772471304,0.7650757282436665,1,0,1,0,1,0,1,0,1,0
1,10055,0.5626571293179441,0.6931703950692303,0.05075057482862061,-0.7827948532519858,2.8544326295960314,2.1806086121466315,1,0,1,0,1,0,1,0,1,0
1,10056,-0.11164572925473103,0.47509356234724565,0.5558341813861128,-0.49668451656648255,2.6948080940369556,1.1591974639179954,1,0,1,0,1,0,1,0,1,0
1,10057,-0.24428044004589422,-0.5887584938060275,0.31014512304967706,-0.767326629976417,-0.0193548438598845,-1.3681284293481584,0,1,0,1,0,1,0,1,0,1
1,10058,0.7589468766584592,0.7457125777049634,-0.06633458052743386,-0.6333523324246256,0.8452454373272008,-0.8707225314647188,1,0,1,0,1,0,1,0,1,0
1,10059,1.092082685231335,-0.34911141879933005,0.011282123103408537,-1.1872769752889407,1.2220705999318802,-1.5568209668749917,1,0,1,0,1,0,1,0,1,0
